filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,app_proof_time_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,inner_recursion_proof_time_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,17,12924564426,25687,283919,141050,4468,1712,11664,58026,84843,0.9857111376513015,0.014288862348698543,0.0,0
affine-hint-apc003/metrics.json,7,5065091366,127239,183850,55738,8352,1373,78970,92606,35506,0.7626299043546216,0.01651759779924175,0.2208524978461366,1083392
affine-hint-apc010/metrics.json,5,3682820306,143155,181797,45009,9514,1190,99019,110183,26605,0.4426097980790269,0.016540563193038937,0.5408496387279341,2228224
affine-hint-apc030/metrics.json,3,2251579518,126507,144179,26752,10157,1169,100257,106159,11268,0.2802609256991829,0.018408210622210857,0.7013308636786063,2574336
affine-hint-apc100/metrics.json,3,2352408702,165801,164600,29426,10638,1027,102156,123908,11266,0.07666477336470931,0.017619196003127183,0.9057160306321635,3196928
manual/metrics.json,1,166842620,5562,14107,2259,494,56,355,6675,5173,0.6148314861034908,0.3851685138965092,0.0,0
projective-apc000/metrics.json,43,33843763128,61025,731349,368428,11382,3619,30491,147148,215773,0.9872528012216503,0.012747198778349752,0.0,0
projective-apc003/metrics.json,13,10495734476,234640,353944,118219,22936,2036,243940,168247,67478,0.6053522895923534,0.01238477176582873,0.3822629386418178,2129920
projective-apc010/metrics.json,10,7659389518,243304,348044,89014,24597,1946,253698,204417,54613,0.48306170502295115,0.013035593210837406,0.5039027017662114,4423680
projective-apc030/metrics.json,5,4895052156,296304,284728,57609,26221,1900,270735,200516,26603,0.13235419835228412,0.010134117966280562,0.8575116836814354,4272128
projective-apc100/metrics.json,5,4274392700,360649,299872,51554,26999,1924,269040,221833,26485,0.04744943907470177,0.01160563370791832,0.9409449272173799,5470848

