filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,app_proof_time_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,inner_recursion_proof_time_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,17,12924564426,25687,282124,139883,4424,1741,11536,57757,84484,0.9857111376513015,0.014288862348698543,0.0,0
affine-hint-apc003/metrics.json,7,5064665382,127225,182397,55403,8381,1195,80106,91689,35305,0.7626940484021892,0.016518987078068724,0.22078696451974208,1083392
affine-hint-apc010/metrics.json,5,3682230482,143145,180497,45029,9724,1269,100281,108939,26529,0.44268069583592135,0.01654321267986288,0.5407760914842158,2228224
affine-hint-apc030/metrics.json,3,2250924158,126501,144673,26880,10200,1258,101522,106575,11218,0.2803425240949411,0.01841357020079572,0.7012439057042632,2574336
affine-hint-apc100/metrics.json,3,2351732862,165789,171319,29513,10730,1199,104917,130585,11221,0.07668680525500944,0.01762425940025836,0.9056889353447322,3196928
manual/metrics.json,1,166842620,5562,13945,2129,793,100,320,6655,5161,0.6148314861034908,0.3851685138965092,0.0,0
projective-apc000/metrics.json,43,33843763128,61025,728886,366357,11269,3615,30475,147095,215434,0.9872528012216503,0.012747198778349752,0.0,0
projective-apc003/metrics.json,13,10495734476,234640,353625,117881,23108,1689,248108,168130,67614,0.6053522895923534,0.01238477176582873,0.3822629386418178,2129920
projective-apc010/metrics.json,10,7659389518,243304,346046,88912,25127,2044,260165,202818,54316,0.48306170502295115,0.013035593210837406,0.5039027017662114,4423680
projective-apc030/metrics.json,5,4894888316,296294,290799,57524,26789,1819,277294,206793,26482,0.13235862846599827,0.010134457171953992,0.8575069143620477,4272128
projective-apc100/metrics.json,5,4274236540,360629,323885,52088,27284,1791,280545,245262,26535,0.04745117264848426,0.011606057721831183,0.9409427696296846,5470848

