filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,app_proof_time_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,inner_recursion_proof_time_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,7,10864569638,10577,174961,116336,3586,1034,8676,23916,34709,0.9925824885213921,0.007417511478607911,0.0,0
affine-hint-apc003/metrics.json,6,11086786812,12396,161205,113205,4148,1271,11781,20912,27088,0.9675302312469504,0.006493085257315761,0.02597668349573384,1179648
affine-hint-apc010/metrics.json,3,5682745470,48705,112321,62026,6870,684,75216,39203,11092,0.7425747048283688,0.007293578468155463,0.2501317167034757,2088960
affine-hint-apc030/metrics.json,1,2289373226,39222,54749,23978,8241,940,94963,25229,5542,0.22050743070933423,0.012815599338191963,0.7666769699524738,2621440
affine-hint-apc100/metrics.json,1,2042318890,50995,70161,21905,8709,874,98646,42615,5641,0.08540491147295808,0.01436587113974155,0.9002292173873003,3112960
manual/metrics.json,1,205208316,5562,14342,2482,513,57,340,6652,5208,0.6868424961881174,0.31315750381188256,0.0,0
projective-apc000/metrics.json,16,26890658634,22766,422265,287435,8694,2667,22629,54505,80325,0.9940451489798195,0.005954851020180483,0.0,0
projective-apc003/metrics.json,5,7943287164,74474,167321,82227,18159,1669,228588,58800,26294,0.6267648656293751,0.006245152035397319,0.36698998233522756,2850816
projective-apc010/metrics.json,5,7387894140,80909,168128,76608,18652,1540,233838,65261,26259,0.6068243311347717,0.006714638171575101,0.3864610306936531,4513792
projective-apc030/metrics.json,2,5767160062,108986,153996,62344,21113,1420,254616,81265,10387,0.12623881012026608,0.0033750486878718435,0.8703861411918621,4878336
projective-apc100/metrics.json,2,4631441662,134928,154485,49928,21286,1304,257859,94136,10421,0.0405280492983569,0.004202675413079618,0.9552692752885635,5499904

