filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,app_proof_time_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,inner_recursion_proof_time_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,17,12924564426,25687,283810,141356,4455,1314,11536,58034,84420,0.9857111376513015,0.014288862348698543,0.0,0
affine-hint-apc003/metrics.json,7,5065091366,127239,183387,55672,8277,887,79231,92331,35384,0.7626299043546216,0.01651759779924175,0.2208524978461366,1083392
affine-hint-apc010/metrics.json,5,3682820306,143155,180872,44905,9575,738,97782,109446,26521,0.4426097980790269,0.016540563193038937,0.5408496387279341,2228224
affine-hint-apc030/metrics.json,3,2251579518,126507,189893,45903,10238,1220,112261,131211,12779,0.2802609256991829,0.018408210622210857,0.7013308636786063,2574336
affine-hint-apc100/metrics.json,3,2352408702,165801,167398,30554,10753,1170,104313,125163,11681,0.07666477336470931,0.017619196003127183,0.9057160306321635,3196928
manual/metrics.json,1,166842620,5562,14135,2170,495,56,326,6756,5209,0.6148314861034908,0.3851685138965092,0.0,0
projective-apc000/metrics.json,43,33843763128,61025,730320,367477,11403,3235,30939,147126,215717,0.9872528012216503,0.012747198778349752,0.0,0
projective-apc003/metrics.json,13,10495734476,234640,354291,118037,23293,2226,245696,168698,67556,0.6053522895923534,0.01238477176582873,0.3822629386418178,2129920
projective-apc010/metrics.json,10,7659389518,243304,347929,88893,24720,1882,252514,204272,54764,0.48306170502295115,0.013035593210837406,0.5039027017662114,4423680
projective-apc030/metrics.json,5,4895052156,296304,283562,56899,26594,1420,271549,199945,26718,0.13235419835228412,0.010134117966280562,0.8575116836814354,4272128
projective-apc100/metrics.json,5,4274392700,360649,300032,51894,26734,1763,270360,221546,26592,0.04744943907470177,0.01160563370791832,0.9409449272173799,5470848

