filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,app_proof_time_ms,app_execute_preflight_time_ms,app_execute_metered_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,inner_recursion_proof_time_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,17,12924564426,25687,299250,147610,4445,1305,11646,62161,89479,0.9857111376513015,0.014288862348698543,0.0,0
affine-hint-apc003/metrics.json,7,5065091366,127239,191190,58293,8612,1151,79015,95405,37492,0.7626299043546216,0.01651759779924175,0.2208524978461366,1083392
affine-hint-apc010/metrics.json,5,3682820306,143155,187759,47149,9623,1204,97676,112343,28267,0.4426097980790269,0.016540563193038937,0.5408496387279341,2228224
affine-hint-apc030/metrics.json,3,2251579518,126507,148527,28397,10144,1159,100740,108271,11859,0.2802609256991829,0.018408210622210857,0.7013308636786063,2574336
affine-hint-apc100/metrics.json,3,2352408702,165801,170331,31749,11111,1263,103024,126617,11965,0.07666477336470931,0.017619196003127183,0.9057160306321635,3196928
manual/metrics.json,1,166842620,5562,14176,2229,498,56,339,6723,5224,0.6148314861034908,0.3851685138965092,0.0,0
projective-apc000/metrics.json,43,33843763128,61025,730898,367608,11324,3500,30257,147324,215966,0.9872528012216503,0.012747198778349752,0.0,0
projective-apc003/metrics.json,13,10495734476,234640,354400,118213,23290,1916,245162,168636,67551,0.6053522895923534,0.01238477176582873,0.3822629386418178,2129920
projective-apc010/metrics.json,10,7659389518,243304,347942,89147,24937,2175,253349,204371,54424,0.48306170502295115,0.013035593210837406,0.5039027017662114,4423680
projective-apc030/metrics.json,5,4895052156,296304,292223,59820,26267,1949,270488,204238,28165,0.13235419835228412,0.010134117966280562,0.8575116836814354,4272128
projective-apc100/metrics.json,5,4274392700,360649,309480,54761,27371,1656,273620,226594,28125,0.04744943907470177,0.01160563370791832,0.9409449272173799,5470848

