elapsed_time,nproc,cpu,mem_real,mem_virtual
4.220008850097656e-05,1,0.0,7.875,3185.3671875
1.0072674751281738,1,43.7,73.1484375,697.6640625
2.015533447265625,1,99.2,485.13671875,1901.6640625
3.024505376815796,1,101.1,785.1328125,3187.6640625
4.033626317977905,1,99.1,801.84375,2675.6328125
5.041898965835571,1,100.2,801.84375,2675.6328125
6.050400257110596,1,3595.4,1865.77734375,7617.62109375
7.085246801376343,1,4679.9,2681.59375,8437.62109375
8.112404823303223,1,4721.8,3548.83203125,9389.62109375
9.139403581619263,1,4639.8,4107.1640625,10055.62109375
10.164155006408691,1,4631.3,4502.56640625,10525.62109375
11.182653427124023,1,3705.1,4734.66796875,10999.62109375
12.193428993225098,1,2533.0,5402.328125,11753.62109375
13.206353664398193,1,1755.2,5846.3828125,12483.62109375
14.214078426361084,1,1305.9,5768.82421875,12647.62109375
15.223242282867432,1,1147.5,5748.70703125,12771.62109375
16.232255935668945,1,1101.0,5582.16015625,13119.62109375
17.240046501159668,1,1099.7,5673.69921875,13159.62109375
18.248202323913574,1,1101.8,5188.85546875,13159.62109375
19.258322954177856,1,1099.9,4953.28125,13159.62109375
20.267552614212036,1,983.0,4742.0703125,13159.62109375
21.276620149612427,1,800.7,4615.4609375,13159.62109375
22.28458285331726,1,800.6,4461.9921875,13159.62109375
23.294973611831665,1,737.3,4353.25390625,13159.62109375
24.306208848953247,1,701.1,4387.69921875,13255.62109375
25.317604303359985,1,671.4,4905.97265625,13845.62109375
26.32843327522278,1,526.3,4524.48046875,14091.62109375
27.33887219429016,1,503.7,4127.9765625,14091.62109375
28.349801778793335,1,504.5,4008.59765625,14091.62109375
29.35801100730896,1,503.8,3915.25,14091.62109375
30.36597776412964,1,504.0,3971.91796875,14091.62109375
31.37384867668152,1,502.1,3982.48828125,14091.62109375
32.38235783576965,1,501.7,3950.01953125,14091.62109375
33.39029312133789,1,502.0,3799.58984375,14091.62109375
34.3983154296875,1,500.0,3805.73828125,14091.62109375
35.4065215587616,1,500.9,3852.63671875,14091.62109375
36.418034076690674,1,500.2,3806.703125,14091.62109375
37.428919076919556,1,498.6,4018.296875,14091.62109375
38.4404821395874,1,502.2,3780.09765625,14091.62109375
39.45196485519409,1,500.3,4369.95703125,14091.62109375
40.46258902549744,1,500.7,4700.46484375,14283.62109375
41.47392225265503,1,499.3,4969.54296875,14507.62109375
42.48494839668274,1,504.4,4271.2890625,14507.62109375
43.49512267112732,1,503.9,4250.03515625,14507.62109375
44.506072998046875,1,505.5,4137.68359375,14507.62109375
45.51693868637085,1,502.6,4265.9375,14507.62109375
46.52846837043762,1,504.2,3975.421875,14507.62109375
47.53880000114441,1,502.8,3758.6796875,14507.62109375
48.54921197891235,1,402.8,4205.73828125,14507.62109375
49.559241771698,1,405.9,3712.16796875,14507.62109375
50.57006072998047,1,304.7,3589.640625,14507.62109375
51.580156326293945,1,302.9,3547.828125,14507.62109375
52.5918242931366,1,302.5,3873.5234375,14507.62109375
53.60325336456299,1,304.5,3479.703125,14507.62109375
54.61430096626282,1,302.7,3840.99609375,14507.62109375
55.622554302215576,1,305.4,3521.8984375,14507.62109375
56.63333249092102,1,303.7,3423.91015625,14507.62109375
57.643691301345825,1,300.9,3556.484375,14507.62109375
58.653807401657104,1,303.9,3375.9921875,14507.62109375
59.66416144371033,1,301.9,3474.6328125,14507.62109375
60.67441987991333,1,302.9,3170.1171875,14507.62109375
61.685142517089844,1,208.7,2898.25390625,14507.62109375
62.69665503501892,1,102.8,2798.578125,14507.62109375
63.70582699775696,1,104.0,2698.6015625,14507.62109375
64.71736025810242,1,103.8,2557.3359375,14507.62109375
65.7288544178009,1,104.8,2407.1953125,14507.62109375
66.74005174636841,1,105.8,2251.63671875,14507.62109375
67.75020146369934,1,102.0,2399.87109375,14507.62109375
68.75840353965759,1,102.1,2528.77734375,14507.62109375
69.76945185661316,1,101.9,2186.48828125,14507.62109375
70.78002142906189,1,100.9,2166.515625,14507.62109375
71.7911913394928,1,101.9,2133.38671875,14507.62109375
72.80127048492432,1,101.0,2083.38671875,14507.62109375
73.81221222877502,1,100.9,2054.08984375,14507.62109375
74.82221984863281,1,102.0,2025.41015625,14507.62109375
75.83262062072754,1,101.0,1984.7578125,14507.62109375
76.84688878059387,1,100.6,2221.80859375,14507.62109375
77.85796070098877,1,98.9,2426.640625,14507.62109375
78.86931037902832,1,100.9,2130.7578125,14507.62109375
79.87961840629578,1,101.0,2130.73828125,14507.62109375
80.88946223258972,1,102.0,2109.76171875,14507.62109375
81.90142273902893,1,99.8,2076.29296875,14507.62109375
82.91304540634155,1,100.8,2152.625,14507.62109375
83.92473196983337,1,100.8,2031.54296875,14507.62109375
84.93499541282654,1,101.9,2005.46875,14507.62109375
85.94655013084412,1,100.8,1980.71875,14507.62109375
86.95714163780212,1,100.9,1965.5703125,14507.62109375
87.96763753890991,1,339.4,1022.8203125,14611.64453125
88.97749257087708,1,203.0,1108.95703125,16207.73828125
89.98991417884827,1,100.8,1563.54296875,15735.70703125
91.00139355659485,1,1679.7,2444.8828125,17319.70703125
92.06750178337097,1,3567.4,3949.5,17375.70703125
93.08139228820801,1,4360.2,5860.04296875,21397.70703125
94.1019139289856,1,4464.4,6594.83984375,24205.70703125
95.11596584320068,1,4058.3,7556.21484375,24205.70703125
96.12438941001892,1,3125.6,7845.07421875,24205.70703125
97.13539028167725,1,2277.0,8310.01171875,24269.70703125
98.147540807724,1,2788.8,8499.6171875,24269.70703125
99.15639138221741,1,1222.2,2903.1640625,24349.70703125
100.21239018440247,1,3732.4,4914.21484375,24349.70703125
101.23140215873718,1,4513.8,6853.61328125,24449.70703125
102.25565648078918,1,4355.6,7341.90234375,24487.70703125
103.27739763259888,1,3808.0,7500.5546875,24487.70703125
104.30139231681824,1,3388.8,8142.84765625,24487.70703125
105.31739020347595,1,2123.0,8102.8984375,24487.70703125
106.32850670814514,1,2063.8,2190.8359375,24487.70703125
107.3373920917511,1,2971.7,2517.63671875,24487.70703125
108.3963930606842,1,3625.4,4680.19921875,24487.70703125
109.4124002456665,1,4620.7,8030.55078125,24531.70703125
110.42833924293518,1,4364.6,7309.04296875,24531.70703125
111.4499580860138,1,3283.1,7441.6328125,24531.70703125
112.46134996414185,1,2717.6,8045.71875,24531.70703125
113.46927070617676,1,3006.6,8123.80859375,24531.70703125
114.47608637809753,1,859.0,2717.41015625,24531.70703125
115.4853925704956,1,3531.7,3936.3203125,24531.70703125
116.5063989162445,1,4441.6,6091.22265625,24551.70703125
117.53228878974915,1,4431.3,6672.5390625,24629.70703125
118.54536247253418,1,3963.3,7386.09375,24629.70703125
119.55738806724548,1,3582.9,7897.3828125,24629.70703125
120.57853627204895,1,2002.5,8058.42578125,24629.70703125
121.58895802497864,1,2747.2,8260.7890625,24629.70703125
122.5974006652832,1,1709.7,2635.15234375,24629.70703125
123.64839339256287,1,3804.3,4659.6875,24629.70703125
124.67239689826965,1,4550.4,7402.1640625,24629.70703125
125.7003915309906,1,4279.6,7337.4375,24629.70703125
126.72044897079468,1,3408.7,7544.84765625,24629.70703125
127.73163843154907,1,3300.6,8133.1796875,24629.70703125
128.74439764022827,1,2257.4,8127.23046875,24629.70703125
129.7534055709839,1,1829.3,2438.46875,24629.70703125
130.7633957862854,1,3211.1,2603.2265625,24629.70703125
131.80838751792908,1,3670.1,4861.26171875,24629.70703125
132.8294005393982,1,4585.3,7504.81640625,24737.70703125
133.84266138076782,1,4326.9,7511.05078125,24737.70703125
134.85354256629944,1,2922.2,7648.6484375,24737.70703125
135.86639046669006,1,2867.2,8245.03125,24737.70703125
136.88339257240295,1,2904.6,8202.94140625,24737.70703125
137.89877891540527,1,960.1,2854.11328125,24737.70703125
138.90739154815674,1,3362.4,3855.8515625,24737.70703125
139.92739605903625,1,4491.1,6056.89453125,24737.70703125
140.94839763641357,1,4365.0,6621.68359375,24767.70703125
