filename,num_segments,app_proof_cells,app_proof_cols,total_proof_time_ms,app_proof_time_ms,app_execute_time_ms,app_trace_gen_time_ms,leaf_proof_time_ms,inner_recursion_proof_time_ms,normal_instruction_ratio,openvm_precompile_ratio,powdr_ratio,powdr_rows
affine-hint-apc000/metrics.json,24,27797633008,36264,451477,259379,46982,88988,78462,113636,0.9894998651174365,0.010500134882563524,0.0,0
affine-hint-apc003/metrics.json,22,22510033820,45452,403703,222722,47563,92568,72955,108026,0.9426193795030025,0.011889431981315432,0.04549118851568212,3874816
affine-hint-apc010/metrics.json,9,11463409018,146115,266064,111946,38816,107649,114439,39679,0.7460664075207301,0.011119411494421126,0.2428141809848488,5522432
affine-hint-apc030/metrics.json,2,6157992020,78444,117782,59037,37130,119927,48688,10057,0.23163249243703957,0.011296953255876417,0.757070554307084,7086080
affine-hint-apc100/metrics.json,2,5601636436,101990,144051,53395,36846,121003,80598,10058,0.0984215249059766,0.012418968777216087,0.8891595063168073,9031680
manual/metrics.json,1,651930684,5618,17924,6829,2513,1948,6281,4814,0.6552938134140653,0.34470618658593466,0.0,0
projective-apc000/metrics.json,59,68889622124,84741,1122484,642509,117655,227142,192482,287493,0.9914150959496414,0.008584904050358584,0.0,0
projective-apc003/metrics.json,14,22320169952,208592,443555,213032,87503,282307,160312,70211,0.6213540644997325,0.0062739235543971365,0.37237201194587033,8454144
projective-apc010/metrics.json,12,24790279016,194248,453094,242601,89505,282922,152683,57810,0.49232605829578535,0.004838184512670835,0.5028357571915438,12517376
projective-apc030/metrics.json,4,13193671048,217932,306799,129725,82427,296261,156007,21067,0.14777633737469548,0.0029983739821978317,0.8492252886431066,13369344
projective-apc100/metrics.json,4,12217256328,269816,314532,121422,81885,297916,172170,20940,0.048861301095229015,0.003238006876334076,0.947900692028437,15346688

